Media Market,Market State,dma,Total Airings 9Apr20 to 25Oct20,Est. Cost 9Apr20 to 25Oct29,Pro-Biden Airings 9Apr20 to 25Oct20,Pro-Trump Airings 9Apr20 to 25Oct20,Biden Ad Adv 9Apr20 to 25Oct20,Total Airings 12Oct20 to 25Oct20,Est. Cost 12Oct20 to 25Oct20,Pro-Biden Airings 12Oct20 to 25Oct20,Pro-Trump Airings 12Oct20 to 25Oct20,Biden Ad Adv 12Oct20 to 25Oct20
CEDAR RAPIDS,IA,637,"4,166"," $4,178,440 ",775,"3,391","-2,616",800," $1,076,780 ",357,443,-86
CHAMPAIGN,IL,648,69," $2,890 ",17,52,-35,21," $1,150 ",17,4,13
"CHARLESTON, SC",SC,519,144," $8,720 ",10,134,-124,12," $1,080 ",10,2,8
"CHARLESTON, WV",WV,564,20," $1,140 ",17,3,14,20," $1,140 ",17,3,14
CHARLOTTE,NC,517,"29,446"," $27,054,990 ","14,066","15,380","-1,314","3,788"," $5,838,090 ","2,468","1,320","1,148"
CHARLOTTESVILLE,VA,584,19," $25,170 ",17,2,15,19," $25,170 ",17,2,15
CHATTANOOGA,TN,575,156," $10,310 ",7,149,-142,11, $950 ,7,4,3
CHEYENNE,WY,759,54," $3,410 ",28,26,2,44," $2,320 ",27,17,10
CHICAGO,IL,602,354," $139,050 ",117,237,-120,123," $35,370 ",113,10,103
CHICO-REDDING,CA,868,95," $3,360 ",29,66,-37,36," $1,360 ",29,7,22
CINCINNATI,OH,515,"4,310"," $1,488,500 ","1,546","2,764","-1,218",896," $320,630 ",891,5,886
CLARKSBURG,WV,598,16, $980 ,14,2,12,16, $980 ,14,2,12
CLEVELAND,OH,510,"2,572"," $2,162,370 ","1,487","1,085",402,981," $923,020 ",978,3,975
COLORADO SPRINGS,CO,752,46," $57,640 ",39,7,32,44," $57,490 ",37,7,30
"COLUMBIA, MO",MO,604,15," $1,500 ",12,3,9,14," $1,380 ",12,2,10
"COLUMBIA, SC",SC,546,118," $7,800 ",31,87,-56,34," $2,250 ",29,5,24
"COLUMBUS, GA",GA,522,"2,166"," $391,920 ",758,"1,408",-650,982," $179,610 ",654,328,326
"COLUMBUS, OH",OH,535,"3,566"," $1,860,260 ","1,361","2,205",-844,759," $339,380 ",753,6,747
COLUMBUS/TUPELO,MS,673,124," $6,010 ",20,104,-84,22, $790 ,20,2,18
CORPUS CHRISTI,TX,600,473," $30,750 ",446,27,419,448," $30,010 ",446,2,444
DALLAS,TX,623,955," $1,134,630 ",819,136,683,645," $677,800 ",558,87,471
DAVENPORT,IA,682,"3,427"," $2,489,180 ",719,"2,708","-1,989",930," $806,710 ",420,510,-90
DAYTON,OH,542,"2,537"," $792,320 ",711,"1,826","-1,115",373," $211,060 ",367,6,361
DENVER,CO,751,525," $1,274,060 ",394,131,263,295," $1,246,210 ",219,76,143
DES MOINES,IA,679,"4,752"," $3,314,130 ",960,"3,792","-2,832",812," $915,730 ",408,404,4
DETROIT,MI,505,"27,747"," $33,553,650 ","23,632","4,115","19,517","7,125"," $10,813,180 ","6,073","1,052","5,021"
DOTHAN,AL,606,17, $740 ,14,3,11,16, $680 ,13,3,10
DULUTH,MN,676,"5,892"," $1,558,640 ","4,604","1,288","3,316",948," $336,990 ",895,53,842
EL PASO,TX,765,556," $194,390 ",494,62,432,428," $166,210 ",418,10,408
ELMIRA,NY,565,18, $440 ,16,2,14,18, $440 ,16,2,14
ERIE,PA,516,"16,526"," $6,451,470 ","9,526","7,000","2,526","3,341"," $2,060,670 ","2,569",772,"1,797"
EUGENE,OR,801,75," $3,880 ",34,41,-7,41," $2,510 ",34,7,27
EUREKA,CA,802,39, $980 ,31,8,23,37, $660 ,30,7,23
EVANSVILLE,IN,649,48," $2,710 ",16,32,-16,18," $1,330 ",16,2,14
